Category,Metric,Value,Source,Description
gem5_stats,system.cpu.commitStats0.committedInstType::SimdUnitStrideLoad,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdUnitStrideStore,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdUnitStrideMaskLoad,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdUnitStrideMaskStore,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdStridedLoad,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdStridedStore,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdIndexedLoad,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdIndexedStore,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdWholeRegisterLoad,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdWholeRegisterStore,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdUnitStrideFaultOnlyFirstLoad,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdUnitStrideSegmentedLoad,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdUnitStrideSegmentedStore,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdUnitStrideSegmentedFaultOnlyFirstLoad,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdStrideSegmentedLoad,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdStrideSegmentedStore,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdExt,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdFloatExt,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdConfig,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::total,10315.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedControl::IsControl,1306.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedControl::IsDirectControl,1152.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedControl::IsIndirectControl,154.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedControl::IsCondControl,986.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedControl::IsUncondControl,320.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedControl::IsCall,112.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedControl::IsReturn,109.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandHits::cpu.data,1890.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandHits::total,1890.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallHits::cpu.data,1890.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallHits::total,1890.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandMisses::cpu.data,135.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandMisses::total,135.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallMisses::cpu.data,135.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallMisses::total,135.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandMissLatency::cpu.data,8047000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandMissLatency::total,8047000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallMissLatency::cpu.data,8047000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallMissLatency::total,8047000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandAccesses::cpu.data,2025.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandAccesses::total,2025.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallAccesses::cpu.data,2025.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallAccesses::total,2025.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandMissRate::cpu.data,0.066667,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandMissRate::total,0.066667,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallMissRate::cpu.data,0.066667,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallMissRate::total,0.066667,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandAvgMissLatency::cpu.data,59607.407407,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandAvgMissLatency::total,59607.407407,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallAvgMissLatency::cpu.data,59607.407407,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallAvgMissLatency::total,59607.407407,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.blockedCycles::no_mshrs,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.blockedCycles::no_targets,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.blockedCauses::no_mshrs,0.0,stats.txt,gem5 simulation statistic
